stride_count_with_rollator_slope_up,speed_with_rollator_slope_up,stride_count_with_rollator_slope_down,speed_with_rollator_slope_down,stride_count_with_rollator_gravel,speed_with_rollator_gravel,stride_count_with_rollator_sidewalk,speed_with_rollator_sidewalk,avg_z_accel_with_rollator_slope_up,avg_z_accel_with_rollator_slope_down,avg_z_accel_with_rollator_gravel,avg_z_accel_with_rollator_sidewalk,stride_count_without_rollator_slope_up,speed_without_rollator_slope_up,stride_count_without_rollator_slope_down,speed_without_rollator_slope_down,stride_count_without_rollator_gravel,speed_without_rollator_gravel,stride_count_without_rollator_sidewalk,speed_without_rollator_sidewalk,avg_z_accel_without_rollator_slope_up,avg_z_accel_without_rollator_slope_down,avg_z_accel_without_rollator_gravel,avg_z_accel_without_rollator_sidewalk
61.0,116.0,41.6,116.0,49.0,114.0,47.0,112.0,0.2234777142857143,0.235081,0.209607,0.240703,40.0,104.0,43.0,108.0,50.0,106.0,43.0,108.0,0.2033657142857143,0.209724,0.202206,0.202299
62.0,116.0,42.1,116.0,52.0,116.0,46.0,110.34782608695652,0.223368,0.235081,0.223368,0.238971,41.0,104.0,44.0,108.0,50.0,106.0,43.0,108.0,0.2058,0.21322275,0.2035371111111111,0.202392
62.0,116.0,43.0,116.0,53.0,116.0,47.0,113.56521739130434,0.223368,0.235081,0.206186,0.244541,41.0,104.33333333333331,46.27272727272727,108.0,50.69230769230769,107.3846153846154,43.0,108.0,0.2058,0.2162238333333333,0.2058,0.204948
63.0,118.0,43.900000000000006,116.0,49.0,116.0,47.0,112.0,0.2172985714285714,0.235081,0.206186,0.244541,41.0,106.0,49.0,108.0,51.0,108.0,43.0,108.0,0.2058,0.216851,0.2059286666666666,0.205872375
63.90476190476191,118.0,45.2,116.0,54.0,120.0,48.0,114.0,0.22932,0.2354799743589743,0.216306,0.244541,41.0,106.0,49.0,108.0,51.15384615384615,108.0,44.0,108.0,0.205993,0.2193913333333333,0.205993,0.213144
65.66666666666666,118.0,46.55,116.0,49.0,116.0,48.0,114.0,0.2291508095238095,0.2373751025641025,0.223368,0.244541,42.0,106.0,50.0,108.0,52.0,108.0,45.0,108.0,0.209524,0.220588,0.205993,0.213144
67.0,118.0,47.9,116.6,48.0,114.0,48.0,115.7391304347826,0.2315343333333333,0.2390924615384615,0.227074,0.248668,42.0,106.0,50.18181818181819,108.0,52.61538461538461,108.0,45.0,108.5,0.2095525714285714,0.220588,0.2063853333333333,0.216802
67.19047619047619,120.85714285714286,49.25,117.5,48.0,112.0,48.0,116.0,0.236686,0.2398617179487179,0.231111,0.2487544782608695,43.0,106.0,51.0,108.0,53.0,108.0,45.0,110.0,0.209724,0.2207740833333333,0.209524,0.216802
68.0,120.0,50.0,118.8,51.0,116.0,48.91304347826088,116.0,0.236038,0.2405606153846154,0.223368,0.2525840869565217,43.0,106.0,52.909090909090914,108.9090909090909,53.0,108.15384615384616,46.0,110.0,0.2134737142857143,0.224509,0.209524,0.216998
69.0,120.0,50.0,120.6,48.0,118.0,48.0,114.0,0.232945,0.2406614615384615,0.21978,0.248668,43.0,106.0,54.09090909090909,110.0,53.61538461538461,110.0,46.0,110.0,0.2154262857142857,0.224509,0.2096351111111111,0.220588
70.0,120.0,50.2,122.5,50.0,120.0,50.0,118.0,0.232945,0.2408595128205128,0.216306,0.2531550434782608,44.0,106.53333333333332,55.72727272727273,111.45454545454544,55.53846153846154,110.0,46.75,110.0,0.220588,0.2253973333333333,0.2147048148148148,0.220588
70.23809523809524,122.0,50.245,122.6125,48.0,112.0,49.434782608695656,118.0,0.232945,0.24095689999999997,0.19945275,0.252936,44.13333333333333,108.0,57.0,112.0,56.0,111.53846153846156,47.375,112.0,0.2279907142857143,0.2347285,0.2200271111111111,0.220588
70.27619047619048,122.0,50.245,122.6125,54.05,122.0,50.47826086956522,127.2608695652174,0.236686,0.24095689999999997,0.23294775,0.253165,45.0,108.1,57.0,112.0,56.0,111.56153846153848,48.0,112.0,0.228571,0.234940625,0.22005515555555552,0.22059815
