Regular step WithSlopeup,Regular step WithStrideSlopeup,Regular step WithSpeedSlopeup,Regular step WithSlopedown,Regular step WithStrideSlopedown,Regular step WithSpeedSlopdown,Regular step WithGravel,Regular step WithStrideGravel,Regular step WithSpeedGravel,Regular step WithSidewalk,Regular step WithStrideSidwalk,Regular step WithSpeedSidewalk,Regular step Walking speedslopdown,Regular step Walking speed slopeup,Regular step Walking speed gravel,Regular step Walking speed sidewalk,Acceleration WithSlopeup.1,Acceleration WithAverageZSlopeup,Acceleration WithSlopedown.1,Acceleration WithAverageZSlopedown,Acceleration WithGravel.1,Acceleration WithAverageZGravel,Acceleration WithSidewalk.1,Acceleration WithAverageZSidewalk,Regular step WithoutSlopeup,Regular step WithoutStrideSlopeup,Regular step WithoutSpeedSlopeup,Regular step WithoutSlopedown,Regular step WithoutStrideSlopedown,Regular step WithoutSpeedSlopedown,Regular step WithoutGravel,Regular step WithoutStrideGravel,Regular step WithoutSpeedGravel,Regular step WithoutSidewalk,Regular step WithoutStrideSidewalk,Regular step WithoutSpeedSidewalk,Regular step Withoutwspeed slopup,Regular step withoutspeedslopedown,Regular step withoutwalkspeedgravel,Regular step Withoutwalkspeedsidewalk,Acceleration WithoutSlopeup.1,Acceleration WithoutAverageZSlopeup,Acceleration WithoutSlopedown.1,Acceleration WithoutAverageZSlopedown,Acceleration WithoutGravel.1,Acceleration WithoutAverageZGravel,Acceleration WithoutSidewalk.1,Acceleration WithoutAverageZSidewalk
15:27.2,60.0,120.0,,,,05:11.4,49.0,120.0,11:05.0,47.0,112.0,0.671657449,1,0.816666667,0.839285714,15:27.2,0.232945,,,05:11.4,0.199667,11:05.0,0.26643,14:40:27,44.0,104.0,14:54:33,41.0,110.0,14:30:33,49.0,106.0,14:46:21,45.0,110.0,0.846153846,0.745454545,0.924528302,0.818181818,14:40:28,0.213592,05:12:06,0.202206,14:30:34,0.183993,46:21.9,0.205993
15:28.4,69.0,120.0,,,,05:12.6,52.0,118.0,11:06.1,46.0,110.0,,1.15,0.881355932,0.836363636,15:28.4,0.216306,,,05:12.6,0.21978,11:06.1,0.234869,14:40:28,44.0,102.0,14:54:34,40.0,105.0,14:30:34,53.0,108.0,14:46:22,41.0,106.0,0.862745098,0.761904762,0.981481481,0.773584906,14:40:29,0.209524,05:13:30,0.2058,14:30:35,0.171429,46:23.0,0.213144
15:29.6,65.0,116.0,,,,05:13.8,51.0,118.0,11:07.2,47.0,112.0,,1.120689655,0.86440678,0.839285714,15:29.6,0.24055,,,05:13.8,0.202874,11:07.2,0.248668,14:40:29,41.0,105.0,14:54:36,41.0,108.0,14:30:35,48.0,105.0,14:46:23,42.0,112.0,0.780952381,0.759259259,0.914285714,0.75,14:40:31,0.228571,05:14:43,0.205993,14:30:36,0.220588,46:24.1,0.198735
15:30.7,62.0,118.0,,,,05:15.0,50.0,118.0,11:08.4,46.0,112.0,,1.050847458,0.847457627,0.821428571,15:30.7,0.236686,,,05:15.0,0.21978,11:08.4,0.231111,14:40:31,45.0,104.0,14:54:37,43.0,108.0,14:30:36,55.0,108.0,14:46:24,46.0,110.0,0.865384615,0.796296296,1.018518519,0.836363636,14:40:32,0.190658,05:16:07,0.2058,14:30:37,0.205993,46:25.2,0.202206
15:31.9,61.0,118.0,,,,05:16.2,51.0,122.0,11:09.5,45.0,112.0,,1.033898305,0.836065574,0.803571429,15:31.9,0.253593,,,05:16.2,0.22932,11:09.5,0.248668,14:40:32,43.0,104.0,14:54:38,43.0,106.0,14:30:37,50.0,106.0,14:46:25,43.0,108.0,0.826923077,0.811320755,0.943396226,0.796296296,14:40:33,0.209524,05:17:46,0.228789,14:30:38,0.193986,46:26.3,0.216998
15:33.1,64.0,122.0,,,,05:17.4,51.0,118.0,11:10.6,45.0,114.0,,1.049180328,0.86440678,0.789473684,15:33.1,0.22932,,,05:17.4,0.21978,11:10.6,0.244541,14:40:33,43.0,104.0,14:54:39,43.0,106.0,14:30:38,51.0,103.0,14:46:26,47.0,110.0,0.826923077,0.811320755,0.990291262,0.854545455,14:40:34,0.213592,05:16:42,0.224509,14:30:40,0.205993,46:27.4,0.195382
15:34.3,66.0,118.0,,,,05:18.5,53.0,116.0,11:11.7,42.0,110.0,,1.118644068,0.913793103,0.763636364,15:34.3,0.236686,,,05:18.5,0.223368,11:11.7,0.234869,14:40:34,45.0,102.0,14:54:40,41.0,106.0,14:30:40,47.0,106.0,14:46:27,46.0,112.0,0.882352941,0.773584906,0.886792453,0.821428571,14:40:35,0.213385,05:16:02,0.209724,14:30:41,0.202206,46:28.5,0.220588
15:35.7,67.0,137.0,,,,05:19.7,50.0,114.0,11:16.2,51.0,108.0,,0.97810219,0.877192982,0.944444444,15:35.7,0.232897,,,05:19.7,0.209607,11:16.2,0.202206,14:40:35,42.0,103.0,14:54:41,38.0,104.0,14:30:41,46.0,108.0,14:46:29,45.0,108.0,0.815533981,0.730769231,0.851851852,0.833333333,14:40:36,0.209724,05:17:36,0.224509,14:30:42,0.216802,46:29.6,0.202392
15:36.9,68.0,118.0,,,,05:20.9,51.0,118.0,11:17.4,52.0,118.0,,1.152542373,0.86440678,0.881355932,15:36.9,0.236686,,,05:20.9,0.21978,11:17.4,0.185968,14:40:36,40.0,104.0,14:54:42,42.0,106.0,14:30:42,45.0,110.0,14:46:30,44.0,108.0,0.769230769,0.79245283,0.818181818,0.814814815,14:40:37,0.224509,05:16:53,0.23919,14:30:43,0.205993,46:30.7,0.220588
15:38.1,70.0,118.0,,,,05:22.1,51.0,120.0,11:18.6,50.0,118.0,,1.186440678,0.85,0.847457627,15:38.1,0.236686,,,05:22.1,0.216306,11:18.6,0.236686,14:40:37,43.0,106.0,14:54:43,44.0,104.0,14:30:43,47.0,106.0,14:46:31,45.0,108.0,0.811320755,0.846153846,0.886792453,0.833333333,14:40:38,0.209524,05:12:57,0.220588,14:30:44,0.198735,46:31.8,0.213144
